"year","species","stock","pe","B","B_lwr","B_upr","F","F_lwr","F_upr"
1977,"Cod","3LNO",0.00359022215526331,470.904836914821,237.224344336355,934.774911277053,0.191221225481462,0.096330142062736,0.379585831512824
1978,"Cod","3LNO",0.0621897712896463,455.105178234463,229.691713634667,901.733545273886,0.178833385978461,0.0902572610574001,0.354335812607723
1979,"Cod","3LNO",1.08412636341435,618.4522210319,311.849782385195,1226.49804907303,0.170058407785353,0.0857506459790039,0.337255325931544
1980,"Cod","3LNO",0.012014210839669,596.634963211503,302.794241330534,1175.62763995174,0.15381599413152,0.0780621319891455,0.303083703298771
1981,"Cod","3LNO",0.227265863990672,625.797369532569,299.251439989969,1308.67322719319,0.166179989023728,0.0794659796189503,0.347517124741274
1982,"Cod","3LNO",0.17552431547182,636.003575618074,333.564601492503,1212.66029545424,0.195827515401881,0.102705597327525,0.373381945934089
1983,"Cod","3LNO",0.414422303252955,674.024380065003,336.58746325913,1349.74981100901,0.198598157513369,0.0991739349827601,0.397697521778893
1984,"Cod","3LNO",0.493241287384034,722.05419335495,360.002309291253,1448.21920494868,0.194022832758665,0.0967360462568679,0.389150281496274
1985,"Cod","3LNO",0.57110981381676,787.05078118923,416.853099535761,1486.01253741532,0.183271528912084,0.0970678216826415,0.346030772376746
1986,"Cod","3LNO",0.349305085071118,800.37799388101,423.072861222078,1514.17165175416,0.243132621695906,0.128517793722105,0.459963325082798
1987,"Cod","3LNO",0.819310851011919,884.458783022561,429.442291584125,1821.58896363031,0.168340235698922,0.0817363318359549,0.346705489696358
1988,"Cod","3LNO",-0.0815260526370202,797.929779159337,406.39485646525,1566.68304812492,0.224465867395876,0.114323059928659,0.440724081888854
1989,"Cod","3LNO",-0.654245784957241,574.961264925601,298.171944356643,1108.69068140576,0.294070244926636,0.152503311190112,0.567052008748902
1990,"Cod","3LNO",-0.343124345217319,436.973179134382,214.70278364394,889.348316971382,0.34439642336428,0.169216039574338,0.700931759923402
1991,"Cod","3LNO",-0.951330915390391,265.646961209905,132.347742036014,533.203717074779,0.445286478946515,0.221845790289963,0.893774220702698
1992,"Cod","3LNO",-1.69378662120687,116.27643011216,52.4329523695202,257.857083925861,0.327400832337893,0.147636044821424,0.726051047663871
1993,"Cod","3LNO",-1.46786261216356,65.8709515558988,27.156645533383,159.776075934922,0.204536289240739,0.084324263949802,0.496121657714977
1994,"Cod","3LNO",-2.23223987511808,33.762054418684,15.4721138921812,73.6729529341308,0.0834368656914748,0.0382365561282525,0.182069497395799
1995,"Cod","3LNO",-1.80707548800781,22.4642231100279,10.637596214397,47.4394129807379,0.0132210225363823,0.0062606170974458,0.0279198414767838
1996,"Cod","3LNO",0.661566567140731,34.5237962251663,14.4988573774003,82.2059611162628,0.0113544871323927,0.00476851063690624,0.0270366132858869
1997,"Cod","3LNO",0.484251196630404,49.4916195554111,19.8448793055191,123.428334761217,0.0164876398737851,0.00661112378756974,0.0411189197695478
1998,"Cod","3LNO",-0.538524647720808,50.7768836212902,20.6511644415175,124.849710900882,0.0505741947291005,0.0205687300472704,0.124351341410911
1999,"Cod","3LNO",2.03222842730826,112.502199980284,44.1358020514995,286.768211114312,0.0504434580034393,0.0197895016952832,0.128580420797116
2000,"Cod","3LNO",-0.0791619371574349,125.791331143502,49.6040973159981,318.994999345567,0.031592002118703,0.0124578755408481,0.0801143497216372
2001,"Cod","3LNO",-0.957946698216692,107.710499864382,42.7197087370017,271.573756564176,0.0441089773604428,0.0174943266245878,0.111213305063687
2002,"Cod","3LNO",-1.51027960168646,76.7512389435466,30.8043635219291,191.231111630528,0.0550479713181913,0.0220936853003448,0.137155893417252
2003,"Cod","3LNO",-1.08164361585701,62.3548992186789,25.0949040013306,154.93717195991,0.0409270166735436,0.01647119259838,0.101693953476159
2004,"Cod","3LNO",-0.708400123770749,57.7671500057541,23.4136923971494,142.525303706201,0.0228157352382577,0.0092474807330837,0.0562918474217448
2005,"Cod","3LNO",0.434113869270266,77.9407328005289,31.3000161737552,194.081619503349,0.0168589638919982,0.00677034746186938,0.0419808089780406
2006,"Cod","3LNO",0.196754155820358,97.5078885680994,39.0372535546465,243.556794273434,0.0160807502144292,0.00643792346125091,0.0401667601386206
2007,"Cod","3LNO",1.07669249557541,160.49131941906,63.221643881881,407.415277859497,0.0129103555725016,0.00508571993393572,0.0327735862716759
2008,"Cod","3LNO",0.0952683354683113,192.141819184088,75.8212687714863,486.91454624213,0.0124803648168987,0.00492488880956031,0.0316270096617244
2009,"Cod","3LNO",0.0262549869314905,224.338280855564,85.6899475687831,587.322850405903,0.0104039310237146,0.00397396423174572,0.0272377340192267
2010,"Cod","3LNO",-1.7897106285964,149.495727527814,60.8129253177794,367.503658675937,0.0162680234426601,0.00661762119256757,0.0399914983088139
2011,"Cod","3LNO",-0.154893486755246,165.824503727338,67.1609233364906,409.431030283014,0.0167164679386464,0.00677037106367802,0.0412740007476027
2012,"Cod","3LNO",0.637344946594016,234.147615232011,92.5185476033046,592.58502364211,0.0103182772013546,0.00407705207457139,0.0261136827434773
2013,"Cod","3LNO",0.287790380088562,294.869352215337,115.382903499311,753.559948995494,0.0107030451835335,0.00418812067202748,0.0273524058095734
2014,"Cod","3LNO",-0.787041470895687,262.667027775527,97.7328517439939,705.944482835264,0.011436532500635,0.00425529212713034,0.0307368499577687
2015,"Cod","3LNO",-1.37191935306594,195.982831728686,78.4426244998876,489.647950680814,0.0135981298795058,0.00544268590585244,0.0339738760271059
2016,"Cod","3LNO",-1.08309342290856,162.088428667798,64.0526428490599,410.172906837073,0.00700235056461801,0.0027671257196196,0.017719799675942
2017,"Cod","3LNO",-0.535458571499522,162.046051341985,65.0999213133629,403.363356295475,0.0419633798150943,0.0168582492531097,0.104454811354805
2018,"Cod","3LNO",-0.401899961187306,163.177670186188,64.3775179270842,413.606378511684,0.0309601184661823,0.0122145118220349,0.0784746004920854
1977,"Haddock","3LNO",-0.0164261434439301,8.44683868140535,2.09564841187651,34.0463043826122,0.0162190856446197,0.00402393159799062,0.0653735613395787
1978,"Haddock","3LNO",-0.0929021797759049,8.95734380949452,2.45722720855507,32.6522544769761,0.0540338754762293,0.0148228662232582,0.19696998239109
1979,"Haddock","3LNO",0.733849861317893,11.9319733862691,3.56186770728941,39.9711613655014,0.0716562107810185,0.0213904217638755,0.240042604123177
1980,"Haddock","3LNO",0.201763517229665,13.0925593195036,4.01187531940716,42.7269284031616,0.0137482669054521,0.00421279990692429,0.0448667981104156
1981,"Haddock","3LNO",0.260265807041037,15.4561173391128,4.98903935409323,47.8832789732207,0.00802271342015561,0.00258963050691137,0.0248544842401904
1982,"Haddock","3LNO",0.216635361707063,18.0778491405664,6.76090337226253,48.338012178942,0.0533249277889371,0.0199428970399399,0.14258449602385
1983,"Haddock","3LNO",0.667180405995567,23.2907728983329,8.98576063280985,60.3688573921082,0.0237003727789348,0.00914378744018039,0.0614305257569931
1984,"Haddock","3LNO",0.713377103411633,31.0759692367561,13.3584582328318,72.2924642329099,0.091871631685848,0.0394923596849851,0.213722268710854
1985,"Haddock","3LNO",0.766602453006247,39.137166786547,18.7206681525975,81.81961303905,0.102536804002364,0.0490469198147481,0.214362007129707
