species,year,B,B.type
Redfish 3LN,1959,1.395,B/Bmsy
Redfish 3LN,1960,1.257,B/Bmsy
Redfish 3LN,1961,1.221,B/Bmsy
Redfish 3LN,1962,1.204,B/Bmsy
Redfish 3LN,1963,1.198,B/Bmsy
Redfish 3LN,1964,1.16,B/Bmsy
Redfish 3LN,1965,1.213,B/Bmsy
Redfish 3LN,1966,1.196,B/Bmsy
Redfish 3LN,1967,1.212,B/Bmsy
Redfish 3LN,1968,1.175,B/Bmsy
Redfish 3LN,1969,1.189,B/Bmsy
Redfish 3LN,1970,1.166,B/Bmsy
Redfish 3LN,1971,1.197,B/Bmsy
Redfish 3LN,1972,1.123,B/Bmsy
Redfish 3LN,1973,1.079,B/Bmsy
Redfish 3LN,1974,1.013,B/Bmsy
Redfish 3LN,1975,1.006,B/Bmsy
Redfish 3LN,1976,1.023,B/Bmsy
Redfish 3LN,1977,1.026,B/Bmsy
Redfish 3LN,1978,1.049,B/Bmsy
Redfish 3LN,1979,1.097,B/Bmsy
Redfish 3LN,1980,1.132,B/Bmsy
Redfish 3LN,1981,1.156,B/Bmsy
Redfish 3LN,1982,1.136,B/Bmsy
Redfish 3LN,1983,1.132,B/Bmsy
Redfish 3LN,1984,1.136,B/Bmsy
Redfish 3LN,1985,1.167,B/Bmsy
Redfish 3LN,1986,1.166,B/Bmsy
Redfish 3LN,1987,1.048,B/Bmsy
Redfish 3LN,1988,0.736,B/Bmsy
Redfish 3LN,1989,0.548,B/Bmsy
Redfish 3LN,1990,0.452,B/Bmsy
Redfish 3LN,1991,0.37,B/Bmsy
Redfish 3LN,1992,0.294,B/Bmsy
Redfish 3LN,1993,0.195,B/Bmsy
Redfish 3LN,1994,0.113,B/Bmsy
Redfish 3LN,1995,0.105,B/Bmsy
Redfish 3LN,1996,0.118,B/Bmsy
Redfish 3LN,1997,0.143,B/Bmsy
Redfish 3LN,1998,0.172,B/Bmsy
Redfish 3LN,1999,0.205,B/Bmsy
Redfish 3LN,2000,0.237,B/Bmsy
Redfish 3LN,2001,0.27,B/Bmsy
Redfish 3LN,2002,0.318,B/Bmsy
Redfish 3LN,2003,0.376,B/Bmsy
Redfish 3LN,2004,0.442,B/Bmsy
Redfish 3LN,2005,0.52,B/Bmsy
Redfish 3LN,2006,0.607,B/Bmsy
Redfish 3LN,2007,0.703,B/Bmsy
Redfish 3LN,2008,0.799,B/Bmsy
Redfish 3LN,2009,0.906,B/Bmsy
Redfish 3LN,2010,1.012,B/Bmsy
Redfish 3LN,2011,1.102,B/Bmsy
Redfish 3LN,2012,1.192,B/Bmsy
Redfish 3LN,2013,1.275,B/Bmsy
Redfish 3LN,2014,1.343,B/Bmsy
Redfish 3LN,2015,1.409,B/Bmsy
Redfish 3LN,2016,1.445,B/Bmsy
Redfish 3LN,2017,1.496,B/Bmsy
Redfish 3LN,2018,1.536,B/Bmsy
Plaice 3LNO,1960,125531,SSB
Plaice 3LNO,1961,135985,SSB
Plaice 3LNO,1962,147358,SSB
Plaice 3LNO,1963,157850,SSB
Plaice 3LNO,1964,170033,SSB
Plaice 3LNO,1965,191806,SSB
Plaice 3LNO,1966,217280,SSB
Plaice 3LNO,1967,236083,SSB
Plaice 3LNO,1968,213498,SSB
Plaice 3LNO,1969,203359,SSB
Plaice 3LNO,1970,176258,SSB
Plaice 3LNO,1971,144235,SSB
Plaice 3LNO,1972,113621,SSB
Plaice 3LNO,1973,88814,SSB
Plaice 3LNO,1974,71767,SSB
Plaice 3LNO,1975,68759,SSB
Plaice 3LNO,1976,64712,SSB
Plaice 3LNO,1977,72509,SSB
Plaice 3LNO,1978,92531,SSB
