"species","stock","survey","year","index"
"Hake","3LNO","Spring Yankee",1975,3.17305926211447
"Hake","3LNO","Spring Yankee",1976,5.73261660951029
"Hake","3LNO","Spring Yankee",1977,1.38883790782305
"Hake","3LNO","Spring Yankee",1978,3.98861082467901
"Hake","3LNO","Spring Yankee",1979,2.14262334116996
"Hake","3LNO","Spring Yankee",1980,1.3853048748859
"Hake","3LNO","Spring Yankee",1981,0.234199045226337
"Hake","3LNO","Spring Yankee",1982,1.05843583639918
"Hake","3LNO","Spring Engel",1984,3.78934006205761
"Hake","3LNO","Spring Engel",1985,2.92436977345679
"Hake","3LNO","Spring Engel",1986,2.79417592711934
"Hake","3LNO","Spring Engel",1987,2.79499850561728
"Hake","3LNO","Spring Engel",1988,5.46383715061728
"Hake","3LNO","Spring Engel",1989,0.925323869382716
"Hake","3LNO","Spring Engel",1990,0.753987211271605
"Hake","3LNO","Spring Engel",1991,1.03871104580116
"Hake","3LNO","Spring Engel",1992,0.60551585837037
"Hake","3LNO","Spring Engel",1993,0.521595774475309
"Hake","3LNO","Spring Engel",1994,1.07934858710066
"Hake","3LNO","Spring Engel",1995,0.334293993682099
"Hake","3LNO","Spring Campelen",1996,2.02373159213298
"Hake","3LNO","Spring Campelen",1997,2.22575610376087
"Hake","3LNO","Spring Campelen",1998,2.21181091045928
"Hake","3LNO","Spring Campelen",1999,12.213829123356
"Hake","3LNO","Spring Campelen",2000,15.9296831505638
"Hake","3LNO","Spring Campelen",2001,15.1770640584103
"Hake","3LNO","Spring Campelen",2002,10.9040651809125
"Hake","3LNO","Spring Campelen",2003,8.2149889965636
"Hake","3LNO","Spring Campelen",2004,10.4019221494796
"Hake","3LNO","Spring Campelen",2005,5.95625790551869
"Hake","3LNO","Spring Campelen",2006,12.5171334304525
"Hake","3LNO","Spring Campelen",2007,3.51181347113122
"Hake","3LNO","Spring Campelen",2008,4.76731152578431
"Hake","3LNO","Spring Campelen",2009,4.85327204004525
"Hake","3LNO","Spring Campelen",2010,4.33440284262644
"Hake","3LNO","Spring Campelen",2011,7.00050450238763
"Hake","3LNO","Spring Campelen",2012,7.78139761520412
"Hake","3LNO","Spring Campelen",2013,7.82677334907642
"Hake","3LNO","Spring Campelen",2014,9.98159513295475
"Hake","3LNO","Spring Campelen",2015,6.17347429657466
"Hake","3LNO","Spring Campelen",2016,4.08220245696833
"Hake","3LNO","Fall Engel",1990,1.78444612082305
"Hake","3LNO","Fall Engel",1991,2.80535173506173
"Hake","3LNO","Fall Engel",1992,0.492795330827161
"Hake","3LNO","Fall Engel",1993,0.747832611103514
"Hake","3LNO","Fall Engel",1994,1.44507221460712
"Hake","3LNO","Fall Campelen",1995,4.1925101430591
"Hake","3LNO","Fall Campelen",1996,3.96353877595279
"Hake","3LNO","Fall Campelen",1997,4.34294792330317
"Hake","3LNO","Fall Campelen",1998,3.03222170738436
"Hake","3LNO","Fall Campelen",1999,7.08160663639769
"Hake","3LNO","Fall Campelen",2000,10.719680755539
"Hake","3LNO","Fall Campelen",2001,11.6935807077546
"Hake","3LNO","Fall Campelen",2002,14.1405547641343
"Hake","3LNO","Fall Campelen",2003,14.2847583671732
"Hake","3LNO","Fall Campelen",2004,4.08605052091503
"Hake","3LNO","Fall Campelen",2005,5.29658894432931
"Hake","3LNO","Fall Campelen",2006,2.30520725756159
"Hake","3LNO","Fall Campelen",2007,10.6326942364595
"Hake","3LNO","Fall Campelen",2008,3.17733687851181
"Hake","3LNO","Fall Campelen",2009,4.33425719855296
"Hake","3LNO","Fall Campelen",2010,4.32802362849573
"Hake","3LNO","Fall Campelen",2011,7.56821206238009
"Hake","3LNO","Fall Campelen",2012,11.7535739435518
"Hake","3LNO","Fall Campelen",2013,14.1553170590271
"Hake","3LNO","Fall Campelen",2015,10.8416527467285
"Hake","3LNO","Fall Campelen",2016,2.88709559032479
"Hake","3LNO","Fall Campelen",2017,4.20319337341026
