"species","stock","survey","year","index"
"Plaice","3LNO","Spring",1985,722.609744697555
"Plaice","3LNO","Spring",1986,622.21516992837
"Plaice","3LNO","Spring",1987,743.808076530457
"Plaice","3LNO","Spring",1988,673.49335183171
"Plaice","3LNO","Spring",1989,597.716508261612
"Plaice","3LNO","Spring",1990,458.850890043476
"Plaice","3LNO","Spring",1991,256.543861914003
"Plaice","3LNO","Spring",1992,127.107197379119
"Plaice","3LNO","Spring",1993,141.242292122025
"Plaice","3LNO","Spring",1994,76.8576195441674
"Plaice","3LNO","Spring",1995,55.9600052161452
"Plaice","3LNO","Spring",1996,105.991113096485
"Plaice","3LNO","Spring",1997,92.4669855522526
"Plaice","3LNO","Spring",1998,103.071695856845
"Plaice","3LNO","Spring",1999,192.333299198455
"Plaice","3LNO","Spring",2000,154.742150751912
"Plaice","3LNO","Spring",2001,192.728837286253
"Plaice","3LNO","Spring",2002,129.58575984769
"Plaice","3LNO","Spring",2003,160.39914374326
"Plaice","3LNO","Spring",2004,142.863317457279
"Plaice","3LNO","Spring",2005,214.685973056491
"Plaice","3LNO","Spring",2007,231.140918160625
"Plaice","3LNO","Spring",2008,234.129537743349
"Plaice","3LNO","Spring",2009,123.088595116936
"Plaice","3LNO","Spring",2010,150.153964911849
"Plaice","3LNO","Spring",2011,154.987626583429
"Plaice","3LNO","Spring",2012,169.208098780126
"Plaice","3LNO","Spring",2013,232.764954017053
"Plaice","3LNO","Spring",2014,225.697854848216
"Plaice","3LNO","Spring",2016,69.5399073989761
"Plaice","3LNO","Fall",1990,641.122891937868
"Plaice","3LNO","Fall",1991,468.548167750931
"Plaice","3LNO","Fall",1992,299.771780736085
"Plaice","3LNO","Fall",1993,293.160382447343
"Plaice","3LNO","Fall",1994,153.4395728748
"Plaice","3LNO","Fall",1995,152.821536522736
"Plaice","3LNO","Fall",1996,147.998574172493
"Plaice","3LNO","Fall",1997,168.961726984688
"Plaice","3LNO","Fall",1998,182.075135207979
"Plaice","3LNO","Fall",1999,189.98074904192
"Plaice","3LNO","Fall",2000,268.086278585796
"Plaice","3LNO","Fall",2001,201.500833346174
"Plaice","3LNO","Fall",2002,249.200229621546
"Plaice","3LNO","Fall",2003,222.620769960813
"Plaice","3LNO","Fall",2005,223.448312141382
"Plaice","3LNO","Fall",2006,232.935998730457
"Plaice","3LNO","Fall",2007,241.922779565481
"Plaice","3LNO","Fall",2008,333.414623724454
"Plaice","3LNO","Fall",2009,254.27311176522
"Plaice","3LNO","Fall",2010,281.792783755719
"Plaice","3LNO","Fall",2011,277.357757658274
"Plaice","3LNO","Fall",2012,223.298172211326
"Plaice","3LNO","Fall",2013,353.651612393237
"Plaice","3LNO","Fall",2015,242.315422435705
"Plaice","3LNO","Fall",2016,178.364568267797
"Plaice","3LNO","Fall",2017,202.059958646045
