"year","winter_nao","spring_nao","summer_nao","fall_nao","nlci","cumsum_nlci","ma_nlci","shift"
1950,NA,-0.0733333333333333,-0.456666666666667,-0.0533333333333333,NA,0,NA,"pre-1991"
1951,0.7,-0.61,-0.163333333333333,0.04,0.69,0.69,NA,"pre-1991"
1952,-0.11,-0.533333333333333,-0.256666666666667,-0.8,0.39,1.08,NA,"pre-1991"
1953,-0.21,-0.79,0.26,0.67,0.52,1.6,0.533333333333333,"pre-1991"
1954,0.6,0.14,-0.916666666666667,0.186666666666667,-0.08,1.52,0.276666666666667,"pre-1991"
1955,-0.93,-0.43,0.576666666666667,-0.813333333333333,0.71,2.23,0.383333333333333,"pre-1991"
1956,-0.413333333333333,0.366666666666667,-0.673333333333333,0.543333333333333,0.28,2.51,0.303333333333333,"pre-1991"
1957,0.426666666666667,-0.52,-0.82,0.13,-0.34,2.17,0.216666666666667,"pre-1991"
1958,-0.766666666666667,-0.61,-1.55666666666667,0.576666666666667,0.51,2.68,0.15,"pre-1991"
1959,0.0833333333333334,0.2,0.4,0.726666666666667,-0.16,2.52,0.00333333333333333,"pre-1991"
1960,-1.04,0.436666666666667,-0.42,-0.616666666666667,0.57,3.09,0.306666666666667,"pre-1991"
1961,-0.206666666666667,-0.453333333333333,0.456666666666667,0.376666666666667,0.39,3.48,0.266666666666667,"pre-1991"
1962,-0.0533333333333333,-0.526666666666667,-0.723333333333333,-0.0633333333333333,0.45,3.93,0.47,"pre-1991"
1963,-1.66666666666667,0.126666666666667,-0.613333333333333,0.486666666666667,0.44,4.37,0.426666666666667,"pre-1991"
1964,-0.843333333333333,-0.106666666666667,0.473333333333333,0.31,0.09,4.46,0.326666666666667,"pre-1991"
1965,-0.1,-0.47,0.353333333333333,-0.303333333333333,0.95,5.41,0.493333333333333,"pre-1991"
1966,-0.803333333333333,0.01,-0.13,-0.39,1.27,6.68,0.77,"pre-1991"
1967,-0.383333333333333,0.233333333333333,1.08333333333333,0.533333333333333,0.47,7.15,0.896666666666667,"pre-1991"
1968,-0.853333333333333,-0.813333333333333,-0.376666666666667,-1.71666666666667,0.74,7.89,0.826666666666667,"pre-1991"
1969,-0.886666666666667,0.173333333333333,-0.11,0.59,1.08,8.97,0.763333333333333,"pre-1991"
1970,-0.686666666666667,-0.373333333333333,0.583333333333333,-0.536666666666667,1.22,10.19,1.01333333333333,"pre-1991"
