Year,Climate index
1950,
1951,0.69
1952,0.39
1953,0.52
1954,-0.08
1955,0.71
1956,0.28
1957,-0.34
1958,0.51
1959,-0.16
1960,0.57
1961,0.39
1962,0.45
1963,0.44
1964,0.09
1965,0.95
1966,1.27
1967,0.47
1968,0.74
1969,1.08
1970,1.22
1971,0.31
1972,-0.88
1973,-0.23
1974,-0.52
1975,-0.09
1976,-0.09
1977,0.20
1978,0.25
1979,0.07
1980,0.24
1981,0.51
1982,-0.27
1983,-0.61
1984,-1.15
1985,-0.92
1986,-0.32
1987,-0.26
1988,-0.24
1989,-0.69
1990,-1.11
1991,-1.34
1992,-0.95
1993,-1.37
1994,-0.82
1995,-0.62
1996,0.28
1997,-0.38
1998,-0.16
1999,0.42
2000,0.12
2001,0.30
2002,-0.26
2003,-0.11
2004,0.65
2005,0.38
2006,0.80
2007,-0.13
2008,-0.18
2009,-0.33
2010,1.30
2011,1.12
2012,0.23
2013,0.65
2014,-0.40
2015,-0.56
2016,-0.25
2017,-0.26
2018,0.33
2019,-0.08
2020,0.45
2021,1.32
