year,biomass,ucl,lcl,survey,unit
1981,1494.1,,,2J3K Fall Canada,kt
1983,94.2,,,2J3K Fall Canada,kt
1984,826.4,,,2J3K Fall Canada,kt
1985,1035.4,,,2J3K Fall Canada,kt
1986,430.9,,,2J3K Fall Canada,kt
1987,111.8,,,2J3K Fall Canada,kt
1988,1803.9,,,2J3K Fall Canada,kt
1989,1744.1,,,2J3K Fall Canada,kt
1990,96.4,,,2J3K Fall Canada,kt
1991,54.6,,,2J3K Fall Canada,kt
1992,34,,,2J3K Fall Canada,kt
1993,,,,2J3K Fall Canada,kt
1994,,,,2J3K Fall Canada,kt
1982,611,,,2J3K Fall USSR,kt
1983,852,,,2J3K Fall USSR,kt
1984,480,,,2J3K Fall USSR,kt
1985,1540,,,2J3K Fall USSR,kt
1986,1491,,,2J3K Fall USSR,kt
1987,1164,,,2J3K Fall USSR,kt
1988,,,,2J3K Fall USSR,kt
1989,,,,2J3K Fall USSR,kt
1990,631,,,2J3K Fall USSR,kt
1991,30,,,2J3K Fall USSR,kt
1992,16,,,2J3K Fall USSR,kt
1975,1050,,,3LNO Spring USSR,kt
1976,685,,,3LNO Spring USSR,kt
1977,1000,,,3LNO Spring USSR,kt
1978,310,,,3LNO Spring USSR,kt
1979,483,,,3LNO Spring USSR,kt
1980,,,,3LNO Spring USSR,kt
1981,109,,,3LNO Spring USSR,kt
1982,,,,3LNO Spring USSR,kt
1983,346,,,3LNO Spring USSR,kt
1984,2880,,,3LNO Spring USSR,kt
1985,2200,,,3LNO Spring USSR,kt
1986,1491,,,3LNO Spring USSR,kt
1987,2161,,,3LNO Spring USSR,kt
1988,3900,,,3LNO Spring USSR,kt
1989,2455,,,3LNO Spring USSR,kt
1990,3752,,,3LNO Spring USSR,kt
1991,118,,,3LNO Spring USSR,kt
1992,,,,3LNO Spring USSR,kt
1993,315,,,3LNO Spring USSR,kt
1994,83,,,3LNO Spring USSR,kt
1982,,,,Trinity Bay (3L),kt
1983,,,,Trinity Bay (3L),kt
1984,,,,Trinity Bay (3L),kt
1985,,,,Trinity Bay (3L),kt
1986,,,,Trinity Bay (3L),kt
1987,,,,Trinity Bay (3L),kt
1988,,,,Trinity Bay (3L),kt
1989,,,,Trinity Bay (3L),kt
1990,,,,Trinity Bay (3L),kt
1991,,,,Trinity Bay (3L),kt
1992,,,,Trinity Bay (3L),kt
1993,,,,Trinity Bay (3L),kt
1994,,,,Trinity Bay (3L),kt
1995,,,,Trinity Bay (3L),kt
1996,22.218,,,Trinity Bay (3L),kt
1997,,,,Trinity Bay (3L),kt
1998,,,,Trinity Bay (3L),kt
1999,19.20129294,5.498303244,45.99393625,Trinity Bay (3L),kt
2000,90.98363956,45.43696995,151.8331972,Trinity Bay (3L),kt
2001,60.25107573,24.80049855,256.5333789,Trinity Bay (3L),kt
2002,10.64927575,8.250964474,15.5957505,Trinity Bay (3L),kt
2003,12.14395855,8.305181523,28.1745951,Trinity Bay (3L),kt
2004,5.647935621,1.429343594,71.58519108,Trinity Bay (3L),kt
2005,37.01485953,20.08150409,66.50420958,Trinity Bay (3L),kt
2006,,,,Trinity Bay (3L),kt
2007,12.05916443,9.020278733,220.9543623,Trinity Bay (3L),kt
2008,53.99664609,37.66181293,95.48136842,Trinity Bay (3L),kt
2009,17.6445142,15.34308596,21.7665504,Trinity Bay (3L),kt
2010,15.99580478,11.00750848,506.6160145,Trinity Bay (3L),kt
2011,47.3369348,33.2043911,71.06259672,Trinity Bay (3L),kt
2012,16.20427815,12.25763964,28.53502367,Trinity Bay (3L),kt
2013,3.37368951,2.347545378,15.15942016,Trinity Bay (3L),kt
2014,,,,Trinity Bay (3L),kt
2015,,,,Trinity Bay (3L),kt
2016,,,,Trinity Bay (3L),kt
2017,5.074,3.50175306,9.337577667,Trinity Bay (3L),kt
1982,,,,3L Spring Canada,kt
1983,,,,3L Spring Canada,kt
1984,,,,3L Spring Canada,kt
1985,,,,3L Spring Canada,kt
