Year,CEI
1950,-4.16789702
1951,10.54966927
1952,9.036023167
1953,8.904916316
1954,2.616266389
1955,1.105367446
1956,1.797730307
1957,-8.511023029
1958,11.80945051
1959,-3.742819886
1960,7.726250528
1961,0.470611541
1962,14.72403901
1963,12.78509053
1964,12.07423022
1965,22.99416924
1966,32.49872018
1967,10.74456799
1968,14.96650908
1969,15.03267968
1970,4.446551288
1971,-2.100101845
1972,-31.9972215
1973,-13.92698593
1974,-12.68803916
1975,-3.109056306
1976,1.959107653
1977,3.022809193
1978,12.73177486
1979,20.21303901
1980,4.249385346
1981,17.37695601
1982,-2.761936424
1983,-15.54592665
1984,-32.73057332
1985,-20.60332014
1986,-5.091886952
1987,1.833629879
1988,6.555199584
1989,-6.015378387
1990,-19.18953291
1991,-36.58293058
1992,-24.02335252
1993,-27.53728791
1994,-16.80877033
1995,-7.665677123
1996,1.640720315
1997,0.865976728
1998,9.948965569
1999,14.93104437
2000,4.056637674
2001,7.127681167
2002,3.187915434
2003,9.139645308
2004,24.90599467
2005,24.64673482
2006,36.47122243
2007,7.26553456
2008,17.15531035
2009,-0.854055862
2010,32.39900496
2011,29.15530739
2012,15.36039237
2013,11.398813
2014,-10.07188827
2015,-19.08663043
2016,4.114895325
2017,-8.070643525
2018,3.425516424
