"year","area","minlats","tice"
1969,122446.301735222,48.88737877,125
1970,192396.428628423,48.52994952,105
1971,274136.586980089,47.05076561,57
1972,309450.672958551,46.04259821,150
1973,343158.59706257,43.2583093,92
1974,287729.962192171,45.71349731,44
1975,330330.217934915,44.91012922,71
1976,311659.938624856,46.01559198,72
1977,224124.056281714,46.20949476,86
1978,138091.691500974,47.32735778,71
1979,214257.29911774,46.20721009,56
1980,238696.9941089,44.70200588,66
1981,199843.136507865,48.18263378,48
1982,190046.36185761,47.2721145,56
1983,217194.531228318,45.78564309,79
1984,340151.583988189,46.58122868,50
1985,348237.882328265,42.97777136,79
1986,256479.218437859,43.92445309,78
1987,198765.690800204,44.65553732,70
1988,208479.454078103,46.4767736,94
1989,269158.76523573,45.69368216,72
1990,397396.207506063,43.99365457,92
1991,337466.638361814,43.10777405,91
1992,299796.012517614,45.35782335,86
1993,323682.618348836,44.68513341,95
1994,330646.50390813,44.03075618,59
1995,261188.726788231,44.97118727,65
1996,182839.59899952,48.76378414,36
1997,249701.943270935,45.42323377,76
1998,172871.552153291,48.01285902,89
1999,137217.686803218,48.06143248,60
2000,209143.358244609,47.44433334,59
2001,175965.912473792,46.69728774,85
2002,184996.470723593,47.16303759,77
2003,242788.838147078,44.69356046,90
2004,90312.5441215107,48.45625744,96
2005,187704.015628311,47.17903032,87
2006,136159.245895476,48.09621458,72
2007,139465.346953297,47.77492558,64
2008,222878.868440328,44.96386839,98
2009,240698.61295143,45.43032539,89
2010,69199.0598914873,49.78135868,39
2011,70669.0540471251,49.41887435,80
2012,170416.51986989,46.68382858,86
2013,106628.306560713,49.12323,56
2014,289501.231063413,45.1672016,76
2015,276407.265048584,46.34254198,75
2016,244181.43811524,46.89982467,81
2017,169253.326135757,46.1073762,93
2018,206947.679873251,46.86611037,57
2019,223331.583918814,46.00042745,70
