"Year","Region","Species","Landings (kt)"
1960,"2HJ3KLNO","American Plaice",21.389
1960,"2HJ3KLNO","Atlantic Cod",547.868
1960,"2HJ3KLNO","Atlantic Halibut",1.567
1960,"2HJ3KLNO","Greenland Halibut",0.938
1960,"2HJ3KLNO","Haddock",59.319
1960,"2HJ3KLNO","Monkfish",0.001
1960,"2HJ3KLNO","Red Hake",0
1960,"2HJ3KLNO","Redfish spp.",157.638
1960,"2HJ3KLNO","Roughhead Grenadier",0
1960,"2HJ3KLNO","Roundnose Grenadier",0
1960,"2HJ3KLNO","Silver Hake",0
1960,"2HJ3KLNO","Skate spp.",0.075
1960,"2HJ3KLNO","White Hake",0.627
1960,"2HJ3KLNO","Witch Flounder",6.153
1960,"2HJ3KLNO","Wolffish spp.",0.721
1960,"2HJ3KLNO","Yellowtail Flounder",0.008
1961,"2HJ3KLNO","American Plaice",16.44
1961,"2HJ3KLNO","Atlantic Cod",573.819
1961,"2HJ3KLNO","Atlantic Halibut",1.503
1961,"2HJ3KLNO","Greenland Halibut",0.741
1961,"2HJ3KLNO","Haddock",76.658
1961,"2HJ3KLNO","Monkfish",0
1961,"2HJ3KLNO","Red Hake",0
1961,"2HJ3KLNO","Redfish spp.",90.024
1961,"2HJ3KLNO","Roughhead Grenadier",0
1961,"2HJ3KLNO","Roundnose Grenadier",0
1961,"2HJ3KLNO","Silver Hake",0
1961,"2HJ3KLNO","Skate spp.",0.121
1961,"2HJ3KLNO","White Hake",0.204
1961,"2HJ3KLNO","Witch Flounder",4.766
1961,"2HJ3KLNO","Wolffish spp.",0.719
1961,"2HJ3KLNO","Yellowtail Flounder",0.1
1962,"2HJ3KLNO","American Plaice",16.256
1962,"2HJ3KLNO","Atlantic Cod",541.991
1962,"2HJ3KLNO","Atlantic Halibut",1.368
1962,"2HJ3KLNO","Greenland Halibut",0.588
1962,"2HJ3KLNO","Haddock",33.496
1962,"2HJ3KLNO","Monkfish",0.004
1962,"2HJ3KLNO","Red Hake",0
1962,"2HJ3KLNO","Redfish spp.",48.647
1962,"2HJ3KLNO","Roughhead Grenadier",0
1962,"2HJ3KLNO","Roundnose Grenadier",0
1962,"2HJ3KLNO","Silver Hake",0
